time,root_pid,pid_family,cpu_percent,mem_percent,rss_kb,vsz_kb,threads,elapsed
2026-05-22 19:02:10,2852,"2852 2854",30.6,0.1,23736,35596,2,00:00
2026-05-22 19:02:12,2852,"2852 2854",5.7,0.1,23784,35596,2,00:02
2026-05-22 19:02:14,2852,"2852 2854",3.1,0.1,23784,35596,2,00:04
2026-05-22 19:02:16,2852,"2852 2854",2.1,0.1,23784,35596,2,00:06
2026-05-22 19:02:18,2852,"2852 2854",1.8,0.1,23784,35596,2,00:08
2026-05-22 19:02:20,2852,"2852 2854",1.4,0.1,23784,35596,2,00:10
2026-05-22 19:02:22,2852,"2852 2854",1.2,0.1,23784,35596,2,00:12
2026-05-22 19:02:24,2852,"2852 2854",1.1,0.1,23784,35596,2,00:14
2026-05-22 19:02:26,2852,"2852 2854",1.0,0.1,23784,35596,2,00:16
2026-05-22 19:02:28,2852,"2852 2854",1.1,0.1,23784,35596,2,00:18
2026-05-22 19:02:30,2852,"2852 2854",0.9,0.1,23784,35596,2,00:20
2026-05-22 19:02:32,2852,"2852 2854",0.9,0.1,23784,35596,2,00:22
2026-05-22 19:02:34,2852,"2852 2854",1.0,0.1,23784,35596,2,00:24
2026-05-22 19:02:36,2852,"2852 2854",1.0,0.1,23784,35596,2,00:26
2026-05-22 19:02:38,2852,"2852 2854",1.1,0.1,23784,35596,2,00:28
2026-05-22 19:02:40,2852,"2852 2854",1.1,0.1,23784,35596,2,00:30
2026-05-22 19:02:42,2852,"2852 2854",1.0,0.1,23784,35596,2,00:32
